央视频道,#genre#
卫视频道,#genre#
东南卫视,http://171.8.138.74:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://171.8.138.74:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://171.8.138.74:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://171.8.138.74:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://171.8.138.74:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://171.8.138.74:85/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://171.8.138.74:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://171.8.138.74:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://171.8.138.74:85/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
新闻,http://171.8.138.74:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
民生,http://171.8.138.74:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
法制,http://171.8.138.74:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
移动戏曲,http://171.8.138.74:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
2024-11-01更新,#genre#
